name,province,district,address,hospital_type,image_url,latitude,longitude,source
Reyan medical hall,Bagmati,Kathmandu,,clinic,,27.67818,85.273414,HDX_OSM
bithuwa health center,Lumbini,Kapilbastu,,clinic,,27.487345,83.195822,HDX_OSM
नन्दनगर स्वास्थ्य चाैकी,Lumbini,Kapilbastu,,clinic,,27.549407,83.194904,HDX_OSM
पतरिया स्वास्थ्य चाैकी,Lumbini,Kapilbastu,,clinic,,27.574023,83.177051,HDX_OSM
लबनी स्वास्थ्य चौकि,Lumbini,Kapilbastu,,clinic,,27.508147,83.207063,HDX_OSM
हथिहवा स्वास्थ्य चाैकी,Lumbini,Kapilbastu,,clinic,,27.508426,83.203254,HDX_OSM
Jawabhari helth post,Lumbini,Kapilbastu,,clinic,,27.589441,82.852889,HDX_OSM
Chanai healthpost,Lumbini,Kapilbastu,,clinic,,27.642621,82.894635,HDX_OSM
पकडी स्वास्थ्य चौकी,Lumbini,Kapilbastu,,clinic,,27.520132,83.15242,HDX_OSM
डुमरा स्वास्थ केन्द्र,Lumbini,Kapilbastu,,clinic,,27.531126,83.126251,HDX_OSM
Fulika health post,Lumbini,Kapilbastu,,clinic,,27.57555,83.142158,HDX_OSM
Barai pur swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.554972,82.93457,HDX_OSM
Uday pur swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.564463,82.896881,HDX_OSM
Balramawa swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.587143,82.964279,HDX_OSM
Maharaj prathmik swasthya kendra,Lumbini,Kapilbastu,,clinic,,27.57119,82.954521,HDX_OSM
Buddham policlinic pvt,Lumbini,Kapilbastu,,clinic,,27.570547,82.952004,HDX_OSM
Sirsihawa swastha chauki,Lumbini,Kapilbastu,,clinic,,27.508317,82.767888,HDX_OSM
Bhalwari swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.548094,82.887237,HDX_OSM
Bhagwan pur swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.535889,82.76342,HDX_OSM
Purushottampur health post,Lumbini,Kapilbastu,,clinic,,27.516861,82.843674,HDX_OSM
Krisnanagar Swosth Chauki,Lumbini,Kapilbastu,,clinic,,27.512297,82.795171,HDX_OSM
अजिगर स्वास्थ्य चौकी,Lumbini,Kapilbastu,,clinic,,27.540828,82.88805,HDX_OSM
भिल्मी स्वास्थ्य चौकी,Lumbini,Kapilbastu,,clinic,,27.508516,82.859128,HDX_OSM
Shivraj Aspatal,Lumbini,Kapilbastu,,clinic,,27.545313,82.841509,HDX_OSM
shivanagar swasth chauki,Lumbini,Kapilbastu,,clinic,,27.516134,82.804589,HDX_OSM
sahari swasth clinic manikura,Lumbini,Kapilbastu,,clinic,,27.524098,82.807391,HDX_OSM
धरापानीया स्वास्थ्य चाैकी,Lumbini,Kapilbastu,,clinic,,27.5511,83.089096,HDX_OSM
Tilaurakot Health Post,Lumbini,Kapilbastu,,clinic,,27.582121,83.073303,HDX_OSM
Niglihawa Healthpost,Lumbini,Kapilbastu,,clinic,,27.61467,83.096634,HDX_OSM
हरिहरपुर स्वास्थ्य चौकी,Lumbini,Kapilbastu,,clinic,,27.626534,82.970283,HDX_OSM
मानपुर स्वास्थ्य चौकी 7 बुद्धभूमि,Lumbini,Kapilbastu,,clinic,,27.602947,82.931152,HDX_OSM
शहरी स्वास्थ्य क्लिनिक भेलाई 1 बुध्दभुमी कपिलवस्तु,Lumbini,Kapilbastu,,clinic,,27.708,83.037758,HDX_OSM
बुड्ढी स्वास्थ्य चाैकी,Lumbini,Kapilbastu,,clinic,,27.648809,83.006867,HDX_OSM
महुवा स्वास्थ्य चा‌ैकी,Lumbini,Kapilbastu,,clinic,,27.595072,82.983498,HDX_OSM
राजपुर स्वास्थ्य चाैकी,Lumbini,Kapilbastu,,clinic,,27.621956,83.007881,HDX_OSM
Barkalpur sosthya chauki,Lumbini,Kapilbastu,,clinic,,27.661184,82.98568,HDX_OSM
Dubiya sosthya chauki,Lumbini,Kapilbastu,,clinic,,27.711805,82.995415,HDX_OSM
sahari sosthya clinik ghanchaura,Lumbini,Kapilbastu,,clinic,,27.686153,83.021164,HDX_OSM
Ganeshpur,Lumbini,Kapilbastu,,clinic,,27.577444,82.789757,HDX_OSM
Ganeshpur Swsthy Chauki Vijaynagar-07 Ganeshpur,Lumbini,Kapilbastu,,clinic,,27.5685,82.783394,HDX_OSM
thakurapur swasth chauki,Lumbini,Kapilbastu,,clinic,,27.511936,82.747838,HDX_OSM
Shisawa swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.527622,82.931091,HDX_OSM
Kusahawa swasthya chauki,Lumbini,Kapilbastu,,clinic,,27.514048,82.89463,HDX_OSM
Thuniya Sawasta chouki,Lumbini,Kapilbastu,,clinic,,27.60907,82.912953,HDX_OSM
Birpur health post,Lumbini,Kapilbastu,,clinic,,27.604253,82.861883,HDX_OSM
Manikhel Hospital,Bagmati,Lalitpur,,hospital,,27.513935,85.390465,HDX_OSM
Jana Swasthya Sewa Kendra,Karnali,Kalikot,,hospital,,29.352143,81.806715,HDX_OSM
"सामुदायिक स्वास्थ्य ईकाई, फोहरा",Lumbini,Dang,,clinic,,27.868766,82.380994,HDX_OSM
राजपुर स्वास्थ्य चौकी,Lumbini,Dang,,clinic,,27.88399,82.335233,HDX_OSM
पवित्रनगर नगर स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.83325,82.468552,HDX_OSM
झग्रवा स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.870548,82.355923,HDX_OSM
गुरुङ्खोला स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.772269,82.45625,HDX_OSM
सिक्टा स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.919141,82.276005,HDX_OSM
बेला स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.851222,82.44772,HDX_OSM
हासिपुर स्वाथ्य चौकी,Lumbini,Dang,,clinic,,27.944577,82.686887,HDX_OSM
भुटनेटा आधारभूत स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,28.014111,82.681516,HDX_OSM
"प्राथमिक स्वास्थ्य केन्द्र,स्युजा",Lumbini,Dang,,clinic,,28.061869,82.59496,HDX_OSM
बंगलाचुली अस्पताल,Lumbini,Dang,,hospital,,28.007327,82.6274,HDX_OSM
डाबर आधारभूत स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.96562,82.608075,HDX_OSM
बढिपोखरा आधारभूत स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,28.043198,82.590543,HDX_OSM
लाहाँपे आधारभूत स्वास्थ्य केन्द्र,Lumbini,Dang,,clinic,,27.957084,82.726746,HDX_OSM
लोहारपानी स्वास्थ चौकी,Lumbini,Dang,,clinic,,27.999035,82.706258,HDX_OSM
महादेवा स्वास्थ्य चौकी,Lumbini,Dang,,clinic,,27.81232,82.648014,HDX_OSM
गोबरडीहा स्वास्थ्य चौकी,Lumbini,Dang,,clinic,,27.814124,82.683361,HDX_OSM
स्वाथ्य चौकी,Lumbini,Dang,,clinic,,27.814612,82.537403,HDX_OSM
गंगापरस्पुर स्वास्थ्य चौकी,Lumbini,Dang,,clinic,,27.81239,82.567074,HDX_OSM
"नगर स्वास्थ्य केन्द्र, बनकट्टा",Lumbini,Dang,,clinic,,27.858587,82.587227,HDX_OSM
"नगर स्वास्थ्य केन्द्र, तिल्किगढ",Lumbini,Dang,,clinic,,27.863689,82.563248,HDX_OSM
लमही सर्पदंश उपचार केन्द्र,Lumbini,Dang,,hospital,,27.87015,82.527686,HDX_OSM
कोलाहि स्वास्थ्य चौकी,Lumbini,Dang,,clinic,,27.862951,82.527206,HDX_OSM
लमही अस्पताल,Lumbini,Dang,,hospital,,27.87037,82.52747,HDX_OSM
"नगर स्वास्थ्य केन्द्र, शेमरवा",Lumbini,Dang,,clinic,,27.840712,82.541718,HDX_OSM
"नगर स्वास्थ्य केन्द्र, बनगैं",Lumbini,Dang,,clinic,,27.857035,82.487411,HDX_OSM
Aadharbhut Swasth Sewa Kendra,Madhesh,Mahottari,,clinic,,26.681624,85.795609,HDX_OSM
Swasthya Chauki Dami Marai,Madhesh,Mahottari,,clinic,,26.703039,85.805092,HDX_OSM
Community Health Post Bhagawanpur,Madhesh,Mahottari,,clinic,,26.725557,85.841263,HDX_OSM
Bagada Health Post Bagada,Madhesh,Mahottari,,clinic,,26.782457,85.876137,HDX_OSM
"Dhirapur Health Post, Dhirapur",Madhesh,Mahottari,,clinic,,26.647066,85.850754,HDX_OSM
"Majhaura Bishanpur Swasthya Sewa, Bishanpur",Madhesh,Mahottari,,clinic,,26.662527,85.886269,HDX_OSM
"Adharbhut Swasthya Sewa Kendra, Matihani",Madhesh,Mahottari,,clinic,,26.614769,85.841675,HDX_OSM
"Matihani Prasuti Kendra, Matihani",Madhesh,Mahottari,,clinic,,26.614534,85.841789,HDX_OSM
Aadharbhut Swastha Kendra,Madhesh,Mahottari,,clinic,,26.706512,85.731506,HDX_OSM
Sarpallo Health Post,Madhesh,Mahottari,,clinic,,26.741495,85.778565,HDX_OSM
Aadharbhut Swasth Kendra,Madhesh,Mahottari,,clinic,,26.69795,85.741852,HDX_OSM
Itaharwa Katti Health Post,Madhesh,Mahottari,,clinic,,26.751869,85.735252,HDX_OSM
Manara Swasthya Chauki,Madhesh,Mahottari,,clinic,,26.721336,85.744797,HDX_OSM
Sandha Health Post,Madhesh,Mahottari,,clinic,,26.717968,85.763542,HDX_OSM
Ekdara Health Post,Madhesh,Mahottari,,clinic,,26.705612,85.756782,HDX_OSM
Bhatauliya Health Post,Madhesh,Mahottari,,clinic,,26.680151,85.773071,HDX_OSM
Bageya Health Post,Madhesh,Mahottari,,clinic,,26.698175,85.785438,HDX_OSM
Kolhuwa Bageya Health Post,Madhesh,Mahottari,,clinic,,26.688532,85.7808,HDX_OSM
Nagarik Arogya Sewa Kendra,Madhesh,Mahottari,,clinic,,26.685501,85.784874,HDX_OSM
Halkhori Health Post,Madhesh,Mahottari,,clinic,,26.666744,85.745445,HDX_OSM
D N B,Madhesh,Mahottari,,clinic,,26.987215,85.889076,HDX_OSM
Health Post Hathilet,Madhesh,Mahottari,,clinic,,26.936741,85.850418,HDX_OSM
Kisannagar Swasthya Chauwki,Madhesh,Mahottari,,clinic,,26.933279,85.899155,HDX_OSM
Rajbas Clinic,Madhesh,Mahottari,,clinic,,27.092298,85.932045,HDX_OSM
National Aayurveda Research Center,Madhesh,Mahottari,,hospital,,26.97365,85.882095,HDX_OSM
Bardibas Hospital,Madhesh,Mahottari,,hospital,,26.973921,85.879562,HDX_OSM
Trust Clinic,Madhesh,Mahottari,,clinic,,26.986792,85.893402,HDX_OSM
IRDS Samaj Sahakari Aspatal,Madhesh,Mahottari,,hospital,,26.986843,85.89534,HDX_OSM
Nagarik aarogay sewa kendar,Madhesh,Mahottari,,clinic,,26.735071,85.800835,HDX_OSM
Swasthy Chuaiki Samudayik Sastha Mahadiya,Madhesh,Mahottari,,clinic,,26.768805,85.889557,HDX_OSM
Bijalpura Health Post,Madhesh,Mahottari,,clinic,,26.915857,85.856125,HDX_OSM
"Adharbhut Swasthya Sewa Kendra, Matihani Bazaar",Madhesh,Mahottari,,clinic,,26.613565,85.848961,HDX_OSM
"Matihani Health Post, Matihani Tole",Madhesh,Mahottari,,clinic,,26.614454,85.841873,HDX_OSM
Karki Health Clinic,Madhesh,Bara,,clinic,,27.279553,84.992615,HDX_OSM
Chakri Adharbhut Sovathay Chauki,Madhesh,Bara,,clinic,,27.284437,85.020721,HDX_OSM
Fattepur Health Clinic,Madhesh,Bara,,clinic,,27.118235,85.019676,HDX_OSM
Fattepur Sawasath Chowki,Madhesh,Bara,,clinic,,27.119585,85.016945,HDX_OSM
Shahari Swathya Pravandhan Kendra,Madhesh,Bara,,clinic,,27.136805,85.018715,HDX_OSM
Sawasth Chaiki Inarwa Sira,Madhesh,Bara,,clinic,,27.087736,84.994919,HDX_OSM
Aman Medical Hall,Madhesh,Bara,,clinic,,27.085987,84.993225,HDX_OSM
Swsthya Chauki,Madhesh,Bara,,clinic,,27.145422,84.960792,HDX_OSM
"Adharbhut Sawasthay Sewa Kendra, Thulo Pota",Madhesh,Bara,,clinic,,27.121586,85.019638,HDX_OSM
Chhatapipra Health Post,Madhesh,Bara,,clinic,,27.092112,84.951454,HDX_OSM
Basic Health Service Centre,Madhesh,Bara,,clinic,,27.107401,84.999603,HDX_OSM
Nepal Aankha Aspatal,Madhesh,Bara,,hospital,,27.162399,84.987854,HDX_OSM
Mahnarwa HP,Madhesh,Bara,,clinic,,27.106113,85.059914,HDX_OSM
Dumarwana Polyclinic Pvt. Ltd.,Madhesh,Bara,,clinic,,27.143963,85.008285,HDX_OSM
Jenaral Health Clinic,Madhesh,Bara,,clinic,,27.087493,84.930337,HDX_OSM
"Aadharbhut Sawasthay Kendra, Gachhi",Madhesh,Bara,,clinic,,27.123381,85.002029,HDX_OSM
"Health Post, Harpur",Madhesh,Bara,,clinic,,27.083714,84.969299,HDX_OSM
Jeetpur Health Post Santi Tole,Madhesh,Parsa,,clinic,,27.134707,84.958908,HDX_OSM
Jeetpur Health Care Center,Madhesh,Bara,,clinic,,27.136019,84.960022,HDX_OSM
Jeetpur Polyclinic,Madhesh,Parsa,,clinic,,27.132191,84.957619,HDX_OSM
Aaliya Polyclinic,Madhesh,Parsa,,clinic,,27.134644,84.958565,HDX_OSM
Dharmanagar Sawasth Chauki,Madhesh,Bara,,clinic,,26.976234,84.97464,HDX_OSM
Matiwarwa Swasth Chauki,Madhesh,Bara,,clinic,,26.962193,84.9662,HDX_OSM
Anil Policlinic,Madhesh,Bara,,clinic,,26.966852,84.97403,HDX_OSM
Ghoghdariya Aadarvut Swasth Kendra,Madhesh,Bara,,clinic,,26.998316,85.004173,HDX_OSM
Nagar Swasth Kendra,Madhesh,Bara,,clinic,,27.008608,84.993034,HDX_OSM
"Basic Health Center, Ghusukpur",Madhesh,Bara,,clinic,,27.027609,84.99958,HDX_OSM
Raj Laxmi Relief Hospital Pvt Ltd,Madhesh,Bara,,hospital,,27.028606,85.001801,HDX_OSM
New Jeewan Jyoti Dental Clininic,Madhesh,Bara,,dentist,,27.029232,85.00193,HDX_OSM
Everest Health Clinic,Madhesh,Bara,,clinic,,27.028171,85.001938,HDX_OSM
General Polyclinic Rara Pharmacy,Madhesh,Bara,,clinic,,27.028025,85.001755,HDX_OSM
Hakim Polyclinic,Madhesh,Bara,,clinic,,27.027405,85.00164,HDX_OSM
Aaditya Pathology,Madhesh,Bara,,clinic,,27.027561,85.001656,HDX_OSM
Om Health Care Clinic,Madhesh,Bara,,clinic,,27.027666,85.001724,HDX_OSM
Om Shanti Dental Clininic,Madhesh,Bara,,clinic,,27.028114,85.001389,HDX_OSM
Terai Dental Clininic,Madhesh,Bara,,dentist,,27.030459,85.002266,HDX_OSM
Shreemati Raj Kumari Clinice,Madhesh,Bara,,clinic,,27.030456,85.002014,HDX_OSM
Samir Optical Centre,Madhesh,Bara,,hospital,,27.031244,85.002426,HDX_OSM
Sahri Swasth Parwadh,Madhesh,Bara,,clinic,,26.986906,84.995804,HDX_OSM
Balirampur Sawastha Chauki,Madhesh,Bara,,clinic,,26.987883,84.99485,HDX_OSM
Uttar Jhitkaiya Health Post,Madhesh,Bara,,clinic,,27.06979,85.026878,HDX_OSM
Basatpur Swastha Chowki,Madhesh,Bara,,clinic,,26.961683,84.984474,HDX_OSM
District Ayurved Health Center.,Madhesh,Bara,,hospital,,27.043842,84.995781,HDX_OSM
General Health Clinic,Madhesh,Bara,,clinic,,27.043152,84.999153,HDX_OSM
Bhatauda Swasthya Chauki,Madhesh,Bara,,clinic,,27.035652,84.975166,HDX_OSM
Matiariya Sawasthya Chauki,Madhesh,Bara,,clinic,,27.0788,85.053513,HDX_OSM
Adharbhoot Health Post Office Khapartata Toal,Madhesh,Bara,,clinic,,27.007347,84.990707,HDX_OSM
Dohari Swasth Chaoki,Madhesh,Bara,,clinic,,27.056784,85.036308,HDX_OSM
Mahesh Pur Health Post,Madhesh,Bara,,clinic,,27.045187,85.047554,HDX_OSM
Ramaekawal Clinic,Madhesh,Bara,,clinic,,27.044903,85.032253,HDX_OSM
New Health Post Building,Karnali,Kalikot,,hospital,,29.215728,81.544262,HDX_OSM
Old Health Post,Karnali,Kalikot,,hospital,,29.215723,81.544826,HDX_OSM
OPD Health Post,Karnali,Kalikot,,hospital,,29.250468,81.644449,HDX_OSM
District Eye Hospital,Karnali,Kalikot,,hospital,,29.151834,81.607473,HDX_OSM
Badimalika Clinic,Karnali,Kalikot,,clinic,,29.242225,81.643025,HDX_OSM
Nijon Skin Hospital,Koshi,Jhapa,,hospital,,26.66041,87.692313,HDX_OSM
Khodaha-21 Basic Health Post,Madhesh,Bara,,clinic,,27.076452,85.058418,HDX_OSM
Sk Cecil Nursing Home,Madhesh,Bara,,hospital,,27.028282,85.009499,HDX_OSM
Belpati Sawasth Cilnic,Madhesh,Bara,,clinic,,27.028975,85.002632,HDX_OSM
Hanuman Aayurbed,Madhesh,Bara,,clinic,,27.032099,85.004242,HDX_OSM
Shanti Heath Clinic,Madhesh,Bara,,clinic,,27.028234,85.002006,HDX_OSM
Kalaiya City Clinic,Madhesh,Bara,,clinic,,27.030054,85.002403,HDX_OSM
Max Poly Clinic,Madhesh,Bara,,clinic,,27.029165,85.002235,HDX_OSM
Aadharbhut Shwatha Sewa Kendra,Madhesh,Bara,,clinic,,27.034145,85.008003,HDX_OSM
Sanch Polyclinic,Madhesh,Bara,,clinic,,27.034153,85.005966,HDX_OSM
Yogsheela Hospital Pvt Ltd,Madhesh,Bara,,hospital,,27.029962,85.011971,HDX_OSM
Barampuri Sowath Sewa Kendra,Madhesh,Bara,,clinic,,27.053938,85.000862,HDX_OSM
Yadav Clinic,Madhesh,Bara,,clinic,,27.043224,85.032356,HDX_OSM
Ramnaand Clinic,Madhesh,Bara,,clinic,,27.044771,85.032989,HDX_OSM
Siswa Health Post,Madhesh,Bara,,clinic,,27.04043,85.031784,HDX_OSM
Shree Gadhmai Health Clinic,Madhesh,Bara,,clinic,,27.042906,85.032204,HDX_OSM
Rampur Basic Heth Center,Madhesh,Bara,,clinic,,27.02306,85.015007,HDX_OSM
Om Swasth Clinik,Madhesh,Bara,,clinic,,27.03488,85.003906,HDX_OSM
Soni Helth Clinik,Madhesh,Bara,,clinic,,27.034994,85.004204,HDX_OSM
Sarswati Health Clinic,Madhesh,Bara,,clinic,,27.045134,85.032084,HDX_OSM
Parsa Swasthsastha,Madhesh,Bara,,clinic,,27.036495,85.02137,HDX_OSM
Prathamik Swasthya Kendra,Karnali,Kalikot,,hospital,,29.194118,81.552875,HDX_OSM
Dep Medical Dental Clinic,Bagmati,Kathmandu,,clinic,,27.736676,85.347968,HDX_OSM
Yadunath Clinic,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.24028,83.742064,HDX_OSM
HealthPost Representative House,Gandaki,Parbat,,clinic,,28.302379,83.721014,HDX_OSM
Gokul Medical,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.277851,83.718419,HDX_OSM
Health Service,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.296498,83.752036,HDX_OSM
Clinic,Gandaki,Parbat,Modi Gaunpalika,clinic,,28.264268,83.683005,HDX_OSM
Gaughar Clinic,Gandaki,Parbat,Modi Gaunpalika,clinic,,28.33752,83.730302,HDX_OSM
Patalpani Ward Clinic,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.280297,83.709647,HDX_OSM
Radheshyam Pharmaceutical,Madhesh,Parsa,,clinic,,27.018303,84.87397,HDX_OSM
Neuro Clinic,Madhesh,Parsa,,clinic,,27.019844,84.881256,HDX_OSM
Basdilwa Health Post,Madhesh,Parsa,,clinic,,27.123444,84.899223,HDX_OSM
Lalparsa Swastha Chauki,Madhesh,Parsa,,clinic,,27.089411,84.90979,HDX_OSM
Udaypur Ghurmi Swasth Chowki,Madhesh,Parsa,,clinic,,27.070383,84.859261,HDX_OSM
Sawsth Chowki Sugauli Birta,Madhesh,Parsa,,clinic,,27.042572,84.856804,HDX_OSM
Sreesiya Health Post,Madhesh,Parsa,,clinic,,27.02589,84.850899,HDX_OSM
Prasauni Birta Swastha Chowki,Madhesh,Parsa,,clinic,,27.037333,84.879135,HDX_OSM
Manihari Swastha Chauki,Madhesh,Parsa,,clinic,,27.073896,84.889709,HDX_OSM
Bindawashini Swasth Chuki,Madhesh,Parsa,,clinic,,27.034193,84.819656,HDX_OSM
Bhawanipur Swastha Chowki,Madhesh,Parsa,,clinic,,27.061518,84.880898,HDX_OSM
Allu Sawat Chowki,Madhesh,Parsa,,clinic,,27.026516,84.840027,HDX_OSM
Nepal Indo Hospital And Center Pvt. Ltd.,Madhesh,Parsa,,hospital,,26.99581,84.863945,HDX_OSM
Bagahi Prathmik Swasth Kendra,Madhesh,Parsa,,clinic,,27.092098,84.891716,HDX_OSM
Urban Health Promotion Centre,Madhesh,Parsa,,clinic,,27.005411,84.883804,HDX_OSM
Jila Ayurved Swastha Kendra,Madhesh,Parsa,,clinic,,27.015925,84.894142,HDX_OSM
Sparsha Multispecialty Hospital,Madhesh,Bara,,hospital,,27.041462,84.901741,HDX_OSM
निलकण्ठ हस्पिटल,Madhesh,Parsa,,hospital,,27.029503,84.886772,HDX_OSM
तराई हस्पिटल,Madhesh,Parsa,,hospital,,27.028091,84.892197,HDX_OSM
Manglam Diagnostic Centre,Madhesh,Parsa,,clinic,,27.009083,84.873566,HDX_OSM
Deep Health Clinic,Madhesh,Parsa,,clinic,,27.013491,84.87439,HDX_OSM
Shah Hospital Pvt Ltd,Madhesh,Parsa,,hospital,,27.017437,84.875282,HDX_OSM
Aadhar Bhut Swasth Sewa Kendra,Madhesh,Parsa,,clinic,,27.017321,84.872795,HDX_OSM
Care Health Clinic,Madhesh,Parsa,,clinic,,27.017239,84.876213,HDX_OSM
Birgunj Nawjaat Tatha Bal Clinic,Madhesh,Parsa,,clinic,,27.015675,84.877853,HDX_OSM
Subh Dental House,Madhesh,Parsa,,dentist,,27.015325,84.878057,HDX_OSM
Aayutved Or Panchkarm Centre,Madhesh,Parsa,,clinic,,27.015263,84.878235,HDX_OSM
Hi-Tech Oral Dental,Madhesh,Parsa,,dentist,,27.015368,84.877993,HDX_OSM
Iksha Dental,Madhesh,Parsa,,dentist,,27.015224,84.87857,HDX_OSM
Crystal Dental,Madhesh,Parsa,,dentist,,27.015184,84.878652,HDX_OSM
Adharbhut Sawasth Sewa Kendra,Madhesh,Parsa,,clinic,,27.016684,84.878189,HDX_OSM
Nepal Dental House,Madhesh,Parsa,,dentist,,27.015094,84.878557,HDX_OSM
Manokamna Dental,Madhesh,Parsa,,dentist,,27.01524,84.878304,HDX_OSM
Asharam Hospital Pvt. Ltd,Madhesh,Parsa,,hospital,,27.016058,84.885841,HDX_OSM
Neuro And General Hospital Pvt.Ltd,Madhesh,Parsa,,hospital,,27.016707,84.885834,HDX_OSM
Shree Bhawani Hospital And Research Centre Pvt.Ltd,Madhesh,Parsa,,hospital,,27.013077,84.88353,HDX_OSM
Shiva Aaakha Aaspatal,Madhesh,Parsa,,hospital,,27.013796,84.882835,HDX_OSM
Prabhu Hospital Amd Research Centre,Madhesh,Parsa,,hospital,,27.013773,84.883972,HDX_OSM
Sah Hospital,Madhesh,Parsa,,hospital,,27.011721,84.87648,HDX_OSM
Krishna Hospital Pvt Ltd,Madhesh,Parsa,,hospital,,27.004518,84.871964,HDX_OSM
Sita Hospital Pvt.Ltd,Madhesh,Parsa,,hospital,,27.007484,84.874413,HDX_OSM
Advance Medicare Hospital Pvt Ltd,Madhesh,Parsa,,hospital,,27.007393,84.873802,HDX_OSM
Narayani Hospital,Madhesh,Parsa,,hospital,,27.004826,84.870895,HDX_OSM
Birgunj Om Hospital,Madhesh,Parsa,,hospital,,27.006407,84.871529,HDX_OSM
Birgunj Metrocity Hospital Pvt. Ltd,Madhesh,Parsa,,hospital,,27.001883,84.870995,HDX_OSM
Surya Hospital,Madhesh,Parsa,,hospital,,27.002867,84.870529,HDX_OSM
Narayani Eye Hospital,Madhesh,Parsa,,hospital,,26.995977,84.863281,HDX_OSM
M.B Media Dental College And Teaching Hospital Pvt. Ltd,Madhesh,Parsa,,hospital,,26.995325,84.862534,HDX_OSM
Nepal Endo Hospital And Eye Care,Madhesh,Parsa,,hospital,,26.995785,84.864059,HDX_OSM
Health Care Hospital,Madhesh,Parsa,,hospital,,27.013926,84.87046,HDX_OSM
Gwangju Clinic,Gandaki,Parbat,Modi Gaunpalika,hospital,,28.273872,83.742608,HDX_OSM
माेदि प्याथाेलाेजि क्लिनिक,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.272091,83.739345,HDX_OSM
प्राथमिक स्वास्थ्य उपचार केन्द्र,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.272363,83.739858,HDX_OSM
Biraj Dental Pvt ltd,Bagmati,Bhaktapur,,dentist,,27.674378,85.372122,HDX_OSM
Samjhana laboratory Clinic Pvt Ltd,Bagmati,Bhaktapur,,clinic,,27.674215,85.372976,HDX_OSM
संयम मेडिकाे सेन्टर,Gandaki,Parbat,,clinic,,28.272206,83.739625,HDX_OSM
Devraj Medicall Hall,Gandaki,Parbat,Modi Rural Municipality,clinic,,28.271894,83.73835,HDX_OSM
Bhukatangle Health Post,Gandaki,Parbat,Modi Gaunpalika,hospital,,28.315759,83.74461,HDX_OSM
Charka Clinic,Karnali,Dolpa,,clinic,,29.09059,83.409765,HDX_OSM
Khasare hospital,Sudurpashchim,Doti,,hospital,,29.053676,80.743876,HDX_OSM
Bhagwati Memorial Hospital,Bagmati,Nuwakot,,hospital,,27.902644,85.145781,HDX_OSM
Richmond Fellowship Nepal Treatment Rehabilitation And Training Centre,Bagmati,Kathmandu,,rehabilitation,,27.669532,85.292168,HDX_OSM
Panchkhal Polyclinci and Diagonstic Center,Bagmati,Kavre,,clinic,,27.647021,85.619883,HDX_OSM
Palanchowk Dental Clinic,Bagmati,Kavre,,dentist,,27.647559,85.620159,HDX_OSM
Urban Health Center Jitpur,Bagmati,Sindhupalchowk,,clinic,,27.720845,85.750773,HDX_OSM
Deurali Urban Health Center,Bagmati,Sindhupalchowk,,clinic,,27.778654,85.74037,HDX_OSM
Batase Health Post,Bagmati,Sindhupalchowk,,clinic,,27.803109,85.742623,HDX_OSM
Thulosirubari Health Post,Bagmati,Sindhupalchowk,,clinic,,27.735797,85.709869,HDX_OSM
Sanusiruwari Health Post,Bagmati,Sindhupalchowk,,clinic,,27.760546,85.706441,HDX_OSM
Irkhu Health Post,Bagmati,Sindhupalchowk,,clinic,,27.745678,85.748602,HDX_OSM
Kubuinde Health Post,Bagmati,Sindhupalchowk,,clinic,,27.776664,85.753416,HDX_OSM
Chautara Hospital Sindhupalchok,Bagmati,Sindhupalchowk,,hospital,,27.780479,85.711207,HDX_OSM
Biraj Dental Care,Bagmati,Sindhupalchowk,,dentist,,27.772528,85.718735,HDX_OSM
Samuhik Dental Care Pvt. Ltd,Bagmati,Sindhupalchowk,,dentist,,27.77594,85.712791,HDX_OSM
Community Health Unit Daduwa,Bagmati,Sindhupalchowk,,clinic,,27.717541,85.691843,HDX_OSM
District Community Eye Center,Bagmati,Sindhupalchowk,,hospital,,27.779785,85.711505,HDX_OSM
Batase Basic Health Care Center,Bagmati,Sindhupalchowk,,clinic,,27.802389,85.757147,HDX_OSM
Bhimtar Basic Health Service Centre,Bagmati,Sindhupalchowk,,clinic,,27.689774,85.689368,HDX_OSM
Chautara Basic Health Facility Center Ward no. 5,Bagmati,Sindhupalchowk,,clinic,,27.772138,85.718608,HDX_OSM
